order,event,state,phase
1,cnt_phi_search,"(0, 0)",search
2,cnt_phi_search,"(0, 1)",search
3,cnt_phi_search,"(1, 0)",search
4,cnt_phi_search,"(1, 1)",search
5,cnt_phi_search,"(2, 0)",search
6,cnt_phi_search,"(2, 1)",search
7,cnt_phi_search,"(3, 0)",search
8,cnt_phi_search,"(3, 0)",search
9,cnt_phi_search,"(2, 2)",search
10,cnt_phi_search,"(3, 1)",search
11,cnt_phi_search,"(2, 3)",search
12,cnt_phi_search,"(3, 2)",search
13,cnt_phi_search,"(1, 3)",search
14,cnt_phi_search,"(3, 3)",search
15,cnt_phi_search,"(3, 3)",search
16,cnt_phi_search,"(0, 3)",search
