depth,goal,key,g,f,h,is_cached,is_bounded
-1,"CellMap(4,1)","CellMap(1,3)",5,6,1,False,False
-1,"CellMap(4,1)","CellMap(4,0)",1,6,5,False,False
-1,"CellMap(4,1)","CellMap(1,2)",4,6,2,False,False
-1,"CellMap(4,1)","CellMap(2,1)",2,4,2,False,False
-1,"CellMap(4,1)","CellMap(4,3)",2,4,2,False,False
-1,"CellMap(4,1)","CellMap(3,1)",1,4,3,False,False
-1,"CellMap(4,1)","CellMap(1,1)",3,6,3,False,False
-1,"CellMap(4,1)","CellMap(2,0)",3,6,3,False,False
-1,"CellMap(4,1)","CellMap(4,2)",1,4,3,False,False
-1,"CellMap(4,1)","CellMap(4,1)",0,4,4,False,False
-1,"CellMap(4,0)","CellMap(1,3)",6,7,1,True,False
-1,"CellMap(4,0)","CellMap(4,0)",0,5,5,False,False
-1,"CellMap(4,0)","CellMap(1,2)",5,7,2,True,False
-1,"CellMap(4,0)","CellMap(2,1)",3,7,4,True,False
-1,"CellMap(4,0)","CellMap(4,3)",3,5,2,False,False
-1,"CellMap(4,0)","CellMap(3,1)",2,7,5,True,False
-1,"CellMap(4,0)","CellMap(1,1)",4,7,3,True,False
-1,"CellMap(4,0)","CellMap(4,2)",2,5,3,False,False
-1,"CellMap(4,0)","CellMap(4,1)",1,7,6,True,False
