row,col,f,is_cached,is_bounded,g,h
0,0,4,0,0,0,4
0,1,4,0,0,1,3
0,2,4,0,0,2,2
0,3,4,0,0,3,1
1,3,6,0,0,4,2
1,2,6,0,0,3,3
1,1,6,0,0,2,4
1,0,6,0,0,1,5
2,3,8,0,0,5,3
2,2,8,0,0,4,4
2,1,8,0,0,3,5
2,0,8,0,0,2,6
3,3,10,0,0,6,4
3,2,10,0,0,5,5
3,1,10,0,0,4,6
3,0,10,0,0,3,7
4,3,12,0,0,7,5
4,4,12,0,0,8,4
4,2,12,0,0,6,6
4,1,12,0,0,5,7
4,0,12,0,0,4,8
4,5,14,0,0,9,5
3,5,14,0,0,10,4
2,5,14,0,0,11,3
1,5,14,0,0,12,2
0,5,14,0,0,13,1
5,4,14,0,0,9,5
5,3,14,0,0,8,6
5,2,14,0,0,7,7
5,1,14,0,0,6,8
5,0,14,0,0,5,9
5,5,16,0,0,10,6
